GeneSymbol	counts
LINC01141	0
CAMK2N1	1850
MUL1	104
FAM43B	18
CDA	6
PINK1	0
MIR6084	0
PINK1-AS	0
DDOST	93
KIF17	15
SH2D5	0
HP1BP3	37
EIF4G3	2656
MIR1256	0
ECE1	70
ECE1-AS1	24
NBPF3	4
ALPL	1903
RAP1GAP	33
USP48	11
LDLRAD2	0
HSPG2	330
CELA3B	0
CELA3A	0
LINC01635	0
LINC00339	0
CDC42	21
WNT4	0
MIR4418	0
ZBTB40	4
EPHA8	0
MIR6127	0
C1QA	4336
C1QC	532
C1QB	3483
EPHB2	74
MIR4684	0
MIR4253	0
LACTBL1	0
TEX46	0
KDM1A	2
MIR3115	0
NA	0
LUZP1	19
HTR1D	67
LINC01355	0
HNRNPR	220
ZNF436	3
ZNF436-AS1	5
TCEA3	3318
ASAP3	429
E2F2	1
LOC101928163	0
ID3	167
MDS2	5
RPL11	44899
ELOA	203
ELOA-AS1	0
PITHD1	149
LYPLA2	24
GALE	2
HMGCL	14
FUCA1	21
CNR2	4
MIR378F	0
PNRC2	29
SRSF10	1154
MYOM3	9
IL22RA1	11
IFNLR1	4
LINC02800	0
GRHL3	0
STPG1	0
NIPAL3	7
RCAN3AS	0
RCAN3	1064
NCMAP-DT	0
NCMAP	82
SRRM1	70
CLIC4	128
RUNX3	232
MIR6731	0
MIR4425	0
SYF2	27
RSRP1	171
RHD	1
TMEM50A	61
RHCE	1
MACO1	423
LDLRAP1	19
MAN1C1	2
SELENON	71
MTFR1L	76
LOC646471	515
AUNIP	0
PAQR7	297
STMN1	0
MIR3917	0
PAFAH2	0
EXTL1	2
SLC30A2	14
LOC105376910	0
TRIM63	0
PDIK1L	1
FAM110D	0
NA	0
ZNF593	224
CNKSR1	9
CATSPER4	0
ZPLD2P	0
CEP85	8
SH3BGRL3	11523
UBXN11	3
CD52	112
CRYBG2	3
ZNF683	167
LIN28A	0
DHDDS	7
DHDDS-AS1	0
HMGN2	2
RPS6KA1	939
MIR1976	0
LOC101928728	0
ARID1A	172
PIGV	85
ZDHHC18	15
SFN	1169
GPN2	60
GPATCH3	0
NUDC	14
NR0B2	1
KDF1	78
TRNP1	12
TENT5B	1
SLC9A1	32
WDTC1	3
TMEM222	184
ACTG1P20	16174
RNU6-48P	0
SYTL1	363
MAP3K6	734
FCN3	3
CD164L2	27
GPR3	0
WASF2	6
AHDC1	1
FGR	118
IFI6	159
FAM76A	492
STX12	1
PPP1R8	1
SCARNA1	1013
THEMIS2	68
RPA2	5
SMPDL3B	322
XKR8	1
EYA3	15
PTAFR	21
DNAJC8	8
ATP5IF1	845
SESN2	337
MED18	186
PHACTR4	506
RCC1	15
SNHG3	9
SNORA73A	9
SNORA73B	5
TRNAU1AP	565
SNHG12	1151
SNORD99	0
SNORA61	0
SNORA44	1
SNORA16A	84887
RAB42	2
TAF12	21
RNU11	1
GMEB1	12
NA	0
YTHDF2	18
OPRD1	0
EPB41	12
TMEM200B	0
SRSF4	2482
MECR	5
PTPRU	297
LINC01756	0
LINC01648	0
MATN1	0
MATN1-AS1	0
LAPTM5	73
MIR4420	0
